model_name,prefix_len,accuracy,precision,recall,f1,roc_auc,pr_auc
calibrated_svm,3,0.945925925925926,0.9588414634146342,0.9318518518518518,0.9451540195341849,0.9903736625514403,0.9904541373937812
calibrated_svm,5,0.9866666666666667,0.992503748125937,0.9807407407407407,0.9865871833084948,0.9991725651577503,0.9992348104297584
calibrated_svm,10,0.995787700084246,0.9954128440366973,0.996937212863706,0.9961744452945677,0.9999455122138674,0.9999553251300544
calibrated_svm,15,0.9969072164948454,0.9964221824686941,0.9982078853046595,0.9973142345568488,0.9999739012423009,0.9999809349500496
calibrated_svm,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,1.0,1.0
catboost,3,0.96,0.944206008583691,0.9777777777777777,0.9606986899563319,0.9957684499314129,0.9959697458881678
catboost,5,0.9881481481481481,0.9824304538799414,0.9940740740740741,0.9882179675994109,0.9988192043895747,0.9990640154858605
catboost,10,0.9941027801179444,0.9923780487804879,0.996937212863706,0.9946524064171123,0.9999110988752573,0.9999277297926781
catboost,15,0.9979381443298969,0.9982078853046595,0.9982078853046595,0.9982078853046595,0.9999869506211504,0.9999903879152925
catboost,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,1.0,1.0
extra_trees,3,0.9562962962962963,0.9489795918367347,0.9644444444444444,0.9566495224099927,0.9931456790123456,0.99399126653884
extra_trees,5,0.9859259259259259,0.9880952380952381,0.9837037037037037,0.985894580549369,0.9990233196159124,0.9990509871650725
extra_trees,10,0.9924178601516428,0.9938650306748467,0.9923430321592649,0.993103448275862,0.9998480077544724,0.9998753716433189
extra_trees,15,0.9969072164948454,0.9982046678635548,0.996415770609319,0.9973094170403587,0.9999565020705015,0.9999681168945055
extra_trees,20,1.0,1.0,1.0,1.0,1.0,1.0
hist_gradient_boosting,3,0.9703703703703703,0.9717682020802377,0.9688888888888889,0.9703264094955489,0.9940433470507544,0.9946573493163946
hist_gradient_boosting,5,0.9837037037037037,0.9865871833084948,0.9807407407407407,0.9836552748885586,0.998310013717421,0.998658542623366
hist_gradient_boosting,10,0.9932603201347936,0.9953917050691244,0.9923430321592649,0.9938650306748467,0.9995784366020268,0.9996952720839967
hist_gradient_boosting,15,0.9979381443298969,1.0,0.996415770609319,0.9982046678635548,0.9997651111807078,0.9998413348407077
hist_gradient_boosting,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,0.9999526556249062,0.9999708889072181
lightgbm,3,0.9644444444444444,0.968609865470852,0.96,0.9642857142857143,0.9944691358024691,0.9947560521157853
lightgbm,5,0.9844444444444445,0.9866071428571429,0.9822222222222222,0.9844097995545658,0.998803840877915,0.9989901966327095
lightgbm,10,0.995787700084246,0.9969325153374233,0.9954058192955589,0.9961685823754789,0.9998566110891247,0.9998872575777277
lightgbm,15,0.9979381443298969,1.0,0.996415770609319,0.9982046678635548,0.9999347531057522,0.99995292537783
lightgbm,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,0.9999684370832709,0.9999805072975805
logistic_regression,3,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9481481481481482,0.9900071330589849,0.989953002614577
logistic_regression,5,0.9874074074074074,0.9881305637982196,0.9866666666666667,0.9873980726464048,0.9989508916323732,0.9990395799512752
logistic_regression,10,0.995787700084246,0.9954128440366973,0.996937212863706,0.9961744452945677,0.9999053633188223,0.9999226886518757
logistic_regression,15,0.9969072164948454,0.9964221824686941,0.9982078853046595,0.9973142345568488,0.9999652016564011,0.9999745058338636
logistic_regression,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,1.0,1.0
random_forest,3,0.9651851851851851,0.9631268436578171,0.9674074074074074,0.9652623798965262,0.9951418381344307,0.9956085214521919
random_forest,5,0.9844444444444445,0.9895209580838323,0.9792592592592593,0.9843633655994043,0.9993547325102881,0.9993652107096526
random_forest,10,0.9941027801179444,0.9969230769230769,0.9923430321592649,0.9946277820414429,0.9998766855366473,0.9998993578873586
random_forest,15,0.9979381443298969,1.0,0.996415770609319,0.9982046678635548,0.9999826008282007,0.9999872048238742
random_forest,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,1.0,1.0
xgboost,3,0.9644444444444444,0.9714285714285714,0.957037037037037,0.9641791044776119,0.9946074074074075,0.9949476479575146
xgboost,5,0.9837037037037037,0.9851411589895989,0.9822222222222222,0.983679525222552,0.9988718792866941,0.9990046453515964
xgboost,10,0.995787700084246,0.9969325153374233,0.9954058192955589,0.9961685823754789,0.9998537433109073,0.999883737448875
xgboost,15,0.9979381443298969,1.0,0.996415770609319,0.9982046678635548,0.9999478024846018,0.9999621428738664
xgboost,20,0.9986338797814208,1.0,0.9977827050997783,0.9988901220865705,0.9999921092708177,0.9999950944803092
