session_id,site_id,family,label,num_events,duration_seconds,first_path,last_path
site_000_human_0000,site_000,distracted,human,6,32.30613805746486,/site_000/,/site_000/commerce_6
site_000_bot_0001,site_000,browser_like,bot,46,234.25837385253791,/site_000/,/site_000/commerce_0
site_000_human_0002,site_000,distracted,human,13,150.19251682561614,/site_000/,/site_000/commerce_5
site_000_bot_0003,site_000,bfs,bot,33,22.30292677636231,/site_000/,/site_000/commerce_0/item_015
site_000_human_0004,site_000,exploratory,human,21,178.4170123030792,/site_000/,/site_000/
site_000_bot_0005,site_000,dfs,bot,21,13.364929801199231,/site_000/,/site_000/commerce_2/item_006
site_000_human_0006,site_000,comparison,human,24,413.48940652396317,/site_000/commerce_7/item_009,/site_000/commerce_3/item_003
site_000_bot_0007,site_000,deep_harvest,bot,12,6.6167823267585035,/site_000/commerce_6/item_011,/site_000/commerce_3/item_008
site_000_human_0008,site_000,distracted,human,17,215.1107976156093,/site_000/,/site_000/commerce_1/item_000
site_000_bot_0009,site_000,noisy,bot,17,81.43224319191623,/site_000/commerce_9/item_011,/site_000/commerce_4/item_006
site_000_human_0010,site_000,distracted,human,9,133.8311547498581,/site_000/,/site_000/commerce_6/item_001
site_000_bot_0011,site_000,focused,bot,17,12.791089866277119,/site_000/commerce_5,/site_000/commerce_5/item_011
site_000_human_0012,site_000,exploratory,human,13,202.02044633708093,/site_000/,/site_000/commerce_0
site_000_bot_0013,site_000,bfs,bot,35,21.45879606051712,/site_000/,/site_000/commerce_1/item_001
site_000_human_0014,site_000,comparison,human,26,522.4893006762361,/site_000/,/site_000/commerce_5/item_014
site_000_bot_0015,site_000,linear,bot,37,22.257466828048713,/site_000/,/site_000/commerce_1/item_004
site_000_human_0016,site_000,comparison,human,14,104.2520712417261,/site_000/about,/site_000/commerce_4/item_007
site_000_bot_0017,site_000,dfs,bot,31,18.314828134947337,/site_000/,/site_000/commerce_6/item_004
site_000_human_0018,site_000,goal_oriented,human,25,476.0279292489168,/site_000/,/site_000/commerce_7/item_000
site_000_bot_0019,site_000,noisy,bot,30,116.1644478396701,/site_000/commerce_1,/site_000/commerce_0/item_012
site_000_human_0020,site_000,goal_oriented,human,21,323.8305036853367,/site_000/commerce_4/item_002,/site_000/commerce_7/item_010
site_000_bot_0021,site_000,noisy,bot,12,34.218000228974844,/site_000/commerce_8/item_007,/site_000/commerce_4/item_007
site_000_human_0022,site_000,distracted,human,15,174.7898249887529,/site_000/,/site_000/commerce_7/item_003
site_000_bot_0023,site_000,bfs,bot,42,26.003454006604194,/site_000/,/site_000/commerce_1/item_008
site_000_human_0024,site_000,distracted,human,19,257.9494722999291,/site_000/,/site_000/commerce_5/item_000
site_000_bot_0025,site_000,noisy,bot,26,69.41549580756606,/site_000/commerce_2,/site_000/commerce_5/item_013
site_000_human_0026,site_000,distracted,human,6,41.90117974727827,/site_000/,/site_000/commerce_1/item_000
site_000_bot_0027,site_000,focused,bot,17,10.67977401224659,/site_000/commerce_0,/site_000/commerce_0/item_003
site_000_human_0028,site_000,distracted,human,18,273.59352739288414,/site_000/commerce_0,/site_000/commerce_1
site_000_bot_0029,site_000,linear,bot,31,22.372767219626,/site_000/,/site_000/commerce_0/item_014
site_000_human_0030,site_000,support_seeking,human,20,401.2939323698726,/site_000/,/site_000/commerce_3/item_001
site_000_bot_0031,site_000,noisy,bot,27,93.8970456986431,/site_000/commerce_7/item_002,/site_000/commerce_6/item_006
site_000_human_0032,site_000,goal_oriented,human,14,124.48211664325798,/site_000/,/site_000/
site_000_bot_0033,site_000,focused,bot,14,8.376559113378544,/site_000/commerce_9,/site_000/commerce_9/item_011
site_000_human_0034,site_000,distracted,human,6,78.12368433142892,/site_000/,/site_000/commerce_3/item_003
site_000_bot_0035,site_000,linear,bot,35,21.24567176234163,/site_000/,/site_000/commerce_1/item_002
site_000_human_0036,site_000,goal_oriented,human,27,324.742121343948,/site_000/commerce_7/item_003,/site_000/commerce_7/item_013
site_000_bot_0037,site_000,dfs,bot,21,11.773593327777112,/site_000/,/site_000/commerce_2/item_006
site_000_human_0038,site_000,support_seeking,human,27,396.2243912972155,/site_000/commerce_3/item_007,/site_000/commerce_0/item_000
site_000_bot_0039,site_000,browser_like,bot,35,84.6536352252615,/site_000/,/site_000/commerce_0/item_013
