source,target,site_id,weight
/support_funnel/,/help,support_funnel,1
/support_funnel/,/status,support_funnel,1
/support_funnel/,/login,support_funnel,1
/support_funnel/,/contact,support_funnel,1
/help,/help/account,support_funnel,1
/help,/help/billing,support_funnel,1
/help,/help/devices,support_funnel,1
/help,/search,support_funnel,1
/help,/support_funnel/,support_funnel,1
/help/account,/help/account/reset,support_funnel,1
/help/account,/help/account/security,support_funnel,1
/help/account,/help,support_funnel,1
/help/account,/contact,support_funnel,1
/help/account/reset,/help/account/reset/step-1,support_funnel,1
/help/account/reset,/help/account,support_funnel,1
/help/account/reset,/contact,support_funnel,1
/help/account/reset/step-1,/help/account/reset/step-2,support_funnel,1
/help/account/reset/step-1,/help/account/reset,support_funnel,1
/help/account/reset/step-2,/help/account/reset/step-3,support_funnel,1
/help/account/reset/step-2,/contact,support_funnel,1
/help/account/reset/step-3,/contact,support_funnel,1
/help/account/reset/step-3,/help,support_funnel,1
/help/account/security,/help/account/security/mfa,support_funnel,1
/help/account/security,/help/account,support_funnel,1
/help/account/security/mfa,/contact,support_funnel,1
/help/account/security/mfa,/help/account/security,support_funnel,1
/help/billing,/help/billing/invoice,support_funnel,1
/help/billing,/help/billing/refund,support_funnel,1
/help/billing,/contact,support_funnel,1
/help/billing,/help,support_funnel,1
/help/billing/invoice,/contact,support_funnel,1
/help/billing/invoice,/help/billing,support_funnel,1
/help/billing/refund,/contact,support_funnel,1
/help/billing/refund,/help/billing,support_funnel,1
/help/devices,/help/devices/connect,support_funnel,1
/help/devices,/help/devices/repair,support_funnel,1
/help/devices,/help,support_funnel,1
/help/devices/connect,/help/devices/connect/wifi,support_funnel,1
/help/devices/connect,/contact,support_funnel,1
/help/devices/connect/wifi,/contact,support_funnel,1
/help/devices/connect/wifi,/help/devices,support_funnel,1
/help/devices/repair,/contact,support_funnel,1
/help/devices/repair,/status,support_funnel,1
/search,/help/account,support_funnel,1
/search,/help/billing,support_funnel,1
/search,/help/devices,support_funnel,1
/search,/support_funnel/,support_funnel,1
/status,/contact,support_funnel,1
/status,/support_funnel/,support_funnel,1
/login,/help/account/reset,support_funnel,1
/login,/support_funnel/,support_funnel,1
/contact,/support_funnel/,support_funnel,1
/contact,/help,support_funnel,1
