session_id,timestamp,path,delta_t,label,page_category,referrer,user_agent,status_code
human_0000,7.517400632975223,/,7.517400632975223,human,home,/,Mozilla/5.0,200
human_0000,14.63568619948389,/blog,7.118285566508668,human,blog,/,Mozilla/5.0,200
human_0000,21.424866118806694,/blog/post-9,6.789179919322804,human,blog,/blog,Mozilla/5.0,200
human_0000,27.512618154642055,/blog/post-6,6.08775203583536,human,blog,/blog/post-9,Mozilla/5.0,200
human_0000,30.979240549822578,/products/category-1,3.466622395180522,human,products,/blog/post-6,Mozilla/5.0,200
human_0000,36.48590378261933,/products/category-1/item-3,5.506663232796751,human,products,/products/category-1,Mozilla/5.0,200
human_0000,41.243247860343395,/products/category-1,4.757344077724061,human,products,/products/category-1/item-3,Mozilla/5.0,200
human_0000,47.614702856980884,/products/category-1/item-2,6.371454996637486,human,products,/products/category-1,Mozilla/5.0,200
human_0000,52.56038819254721,/products/category-5/item-1,4.945685335566325,human,products,/products/category-1/item-2,Mozilla/5.0,200
human_0000,58.154047490451795,/support/faq-1,5.593659297904584,human,support,/products/category-5/item-1,Mozilla/5.0,200
human_0000,64.62005161285246,/products/category-5/item-1,6.466004122400674,human,products,/support/faq-1,Mozilla/5.0,200
human_0000,70.4116616182798,/support/faq-1,5.791610005427326,human,support,/products/category-5/item-1,Mozilla/5.0,200
human_0000,76.7908899583209,/support/contact,6.379228340041103,human,support,/support/faq-1,Mozilla/5.0,200
human_0000,82.19935164416768,/support/faq-1,5.4084616858467705,human,support,/support/contact,Mozilla/5.0,200
human_0000,85.59567822611056,/support/contact,3.3963265819428816,human,support,/support/faq-1,Mozilla/5.0,200
human_0000,92.09923613929486,/support/faq-1,6.503557913184294,human,support,/support/contact,Mozilla/5.0,200
human_0000,95.60333575265273,/support/contact,3.5040996133578703,human,support,/support/faq-1,Mozilla/5.0,200
human_0000,97.87519462231906,/support/faq-1,2.27185886966633,human,support,/support/contact,Mozilla/5.0,200
human_0001,3.364960734963691,/,3.364960734963691,human,home,/,Mozilla/5.0,200
human_0001,6.510882677408174,/about,3.1459219424444824,human,about,/,Mozilla/5.0,200
human_0001,10.977307145732123,/,4.4664244683239485,human,home,/about,Mozilla/5.0,200
human_0001,14.673834067349201,/products,3.696526921617079,human,products,/,Mozilla/5.0,200
human_0001,20.360454307825968,/products/category-1,5.686620240476765,human,products,/products,Mozilla/5.0,200
human_0001,23.455013880148037,/products/category-1/item-7,3.0945595723220674,human,products,/products/category-1,Mozilla/5.0,200
human_0001,29.138829305595547,/products/category-1,5.683815425447509,human,products,/products/category-1/item-7,Mozilla/5.0,200
human_0001,34.99646642732718,/products/category-1/item-5,5.8576371217316305,human,products,/products/category-1,Mozilla/5.0,200
human_0001,41.61393290328009,/products/category-1,6.617466475952913,human,products,/products/category-1/item-5,Mozilla/5.0,200
human_0001,45.4046281794361,/products/category-1/item-3,3.7906952761560166,human,products,/products/category-1,Mozilla/5.0,200
human_0001,50.548971014774835,/support/faq-5,5.144342835338732,human,support,/products/category-1/item-3,Mozilla/5.0,200
human_0001,51.577656249510106,/products/category-6/item-3,1.0286852347352702,human,products,/support/faq-5,Mozilla/5.0,200
human_0001,52.077656249510106,/support/faq-5,0.5,human,support,/products/category-6/item-3,Mozilla/5.0,200
human_0001,56.10914931633486,/support/contact,4.031493066824751,human,support,/support/faq-5,Mozilla/5.0,200
human_0001,60.076611297843854,/support/faq-5,3.9674619815089947,human,support,/support/contact,Mozilla/5.0,200
human_0001,62.81971555225906,/support/contact,2.743104254415209,human,support,/support/faq-5,Mozilla/5.0,200
human_0001,71.73428937026736,/support/faq-5,8.914573818008304,human,support,/support/contact,Mozilla/5.0,200
human_0002,3.8310605514186893,/,3.8310605514186893,human,home,/,Mozilla/5.0,200
human_0002,7.88344353664817,/blog,4.052382985229481,human,blog,/,Mozilla/5.0,200
human_0002,12.837670887883718,/blog/post-9,4.954227351235547,human,blog,/blog,Mozilla/5.0,200
human_0002,17.00389795956678,/products/category-4,4.16622707168306,human,products,/blog/post-9,Mozilla/5.0,200
human_0002,22.849129372875126,/products/category-4/item-1,5.845231413308346,human,products,/products/category-4,Mozilla/5.0,200
human_0002,32.41599230657063,/products/category-4,9.5668629336955,human,products,/products/category-4/item-1,Mozilla/5.0,200
human_0002,37.9776733336327,/products/category-4/item-5,5.561681027062069,human,products,/products/category-4,Mozilla/5.0,200
human_0002,46.4691151703748,/support/faq-4,8.491441836742098,human,support,/products/category-4/item-5,Mozilla/5.0,200
human_0002,48.10728329433287,/products/category-4/item-5,1.638168123958072,human,products,/support/faq-4,Mozilla/5.0,200
human_0002,50.416572976676704,/blog/post-2,2.3092896823438345,human,blog,/products/category-4/item-5,Mozilla/5.0,200
human_0002,54.94394068791598,/products/category-4/item-5,4.5273677112392825,human,products,/blog/post-2,Mozilla/5.0,200
human_0002,59.47833631443829,/support/faq-4,4.534395626522302,human,support,/products/category-4/item-5,Mozilla/5.0,200
human_0003,3.0362299452950277,/,3.0362299452950277,human,home,/,Mozilla/5.0,200
human_0003,9.806369655368444,/about,6.770139710073416,human,about,/,Mozilla/5.0,200
human_0003,13.51371839827019,/about/team,3.707348742901745,human,about,/about,Mozilla/5.0,200
human_0003,18.309591066994344,/about/careers,4.795872668724156,human,about,/about/team,Mozilla/5.0,200
human_0003,23.182837076602794,/support/contact,4.873246009608452,human,support,/about/careers,Mozilla/5.0,200
human_0003,28.670243158547095,/about/careers,5.4874060819443,human,about,/support/contact,Mozilla/5.0,200
human_0003,33.07831469300293,/support/contact,4.408071534455837,human,support,/about/careers,Mozilla/5.0,200
human_0003,37.388728034315676,/about/careers,4.310413341312742,human,about,/support/contact,Mozilla/5.0,200
human_0003,38.30864851055957,/support/contact,0.9199204762438979,human,support,/about/careers,Mozilla/5.0,200
human_0003,43.638950040402555,/about/careers,5.330301529842986,human,about,/support/contact,Mozilla/5.0,200
human_0003,49.47951519902508,/support/contact,5.840565158622525,human,support,/about/careers,Mozilla/5.0,200
human_0003,51.812463222177335,/about/careers,2.3329480231522557,human,about,/support/contact,Mozilla/5.0,200
human_0003,52.312463222177335,/support/contact,0.5,human,support,/about/careers,Mozilla/5.0,200
human_0003,58.12307508442884,/about/careers,5.8106118622515055,human,about,/support/contact,Mozilla/5.0,200
