ip,timestamp,method,path,status_code,body_bytes_sent,referrer,user_agent,label
127.0.0.1,1776032408.0,GET,/index.html,200,9797,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/css/styles.css,200,9406,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/js/main.js,200,8924,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/images/hero-dashboard.svg,200,2138,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/images/aqua-sense-pro.svg,200,2086,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/images/flow-guard-mini.svg,200,2091,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/images/hydra-node-x.svg,200,2085,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/images/about-lab.svg,200,2123,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/products.html,200,3803,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/css/styles.css,200,9406,/products.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032408.0,GET,/assets/js/main.js,200,8924,/products.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032409.0,GET,/about.html,200,4908,/products.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032409.0,GET,/assets/css/styles.css,200,9406,/about.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032409.0,GET,/assets/js/main.js,200,8924,/about.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032409.0,GET,/assets/images/about-lab.svg,200,2123,/about.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/cart.html,200,4448,/about.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/css/styles.css,200,9406,/cart.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/js/main.js,200,8924,/cart.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/index.html,200,9797,/cart.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/css/styles.css,200,9406,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/js/main.js,200,8924,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/images/hero-dashboard.svg,200,2138,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/images/aqua-sense-pro.svg,200,2086,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/images/flow-guard-mini.svg,200,2091,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/images/hydra-node-x.svg,200,2085,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032411.0,GET,/assets/images/about-lab.svg,200,2123,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032412.0,GET,/cart.html,200,4448,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032412.0,GET,/assets/css/styles.css,200,9406,/cart.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032412.0,GET,/assets/js/main.js,200,8924,/cart.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-001",
127.0.0.1,1776032413.0,GET,/index.html,200,9797,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/css/styles.css,200,9406,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/js/main.js,200,8924,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/images/hero-dashboard.svg,200,2138,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/images/aqua-sense-pro.svg,200,2086,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/images/flow-guard-mini.svg,200,2091,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/images/hydra-node-x.svg,200,2085,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032413.0,GET,/assets/images/about-lab.svg,200,2123,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032414.0,GET,/faq.html,200,4437,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032414.0,GET,/assets/css/styles.css,200,9406,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032414.0,GET,/assets/js/main.js,200,8924,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/index.html,200,9797,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/css/styles.css,200,9406,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/js/main.js,200,8924,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/images/hero-dashboard.svg,200,2138,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/images/aqua-sense-pro.svg,200,2086,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/images/flow-guard-mini.svg,200,2091,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/images/hydra-node-x.svg,200,2085,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032416.0,GET,/assets/images/about-lab.svg,200,2123,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032417.0,GET,/faq.html,200,4437,/index.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032417.0,GET,/assets/css/styles.css,200,9406,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032417.0,GET,/assets/js/main.js,200,8924,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032418.0,GET,/contact.html,200,4759,/faq.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032418.0,GET,/assets/css/styles.css,200,9406,/contact.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032418.0,GET,/assets/js/main.js,200,8924,/contact.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/articles.html,200,4963,/contact.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/assets/css/styles.css,200,9406,/articles.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/assets/js/main.js,200,8924,/articles.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/assets/images/blog-research.svg,200,2113,/articles.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/assets/images/puremesh-filter.svg,200,2092,/articles.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
127.0.0.1,1776032420.0,GET,/assets/images/river-vision-cam.svg,200,2093,/articles.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Edg/135.0.0.0 Safari/537.36 LabSession/human-002",
