source,target,site_id,weight
/news_mesh/,/topic/water,news_mesh,1
/news_mesh/,/topic/policy,news_mesh,1
/news_mesh/,/topic/security,news_mesh,1
/news_mesh/,/topic/field,news_mesh,1
/news_mesh/,/topic/research,news_mesh,1
/news_mesh/,/topic/markets,news_mesh,1
/news_mesh/,/trending,news_mesh,1
/news_mesh/,/about,news_mesh,1
/trending,/story/water-1,news_mesh,1
/trending,/story/security-2,news_mesh,1
/trending,/story/research-3,news_mesh,1
/trending,/news_mesh/,news_mesh,1
/about,/news_mesh/,news_mesh,1
/about,/trending,news_mesh,1
/topic/water,/story/water-1,news_mesh,1
/topic/water,/story/water-2,news_mesh,1
/topic/water,/story/water-3,news_mesh,1
/topic/water,/trending,news_mesh,1
/topic/water,/news_mesh/,news_mesh,1
/topic/policy,/story/policy-1,news_mesh,1
/topic/policy,/story/policy-2,news_mesh,1
/topic/policy,/story/policy-3,news_mesh,1
/topic/policy,/trending,news_mesh,1
/topic/policy,/news_mesh/,news_mesh,1
/topic/security,/story/security-1,news_mesh,1
/topic/security,/story/security-2,news_mesh,1
/topic/security,/story/security-3,news_mesh,1
/topic/security,/trending,news_mesh,1
/topic/security,/news_mesh/,news_mesh,1
/topic/field,/story/field-1,news_mesh,1
/topic/field,/story/field-2,news_mesh,1
/topic/field,/story/field-3,news_mesh,1
/topic/field,/trending,news_mesh,1
/topic/field,/news_mesh/,news_mesh,1
/topic/research,/story/research-1,news_mesh,1
/topic/research,/story/research-2,news_mesh,1
/topic/research,/story/research-3,news_mesh,1
/topic/research,/trending,news_mesh,1
/topic/research,/news_mesh/,news_mesh,1
/topic/markets,/story/markets-1,news_mesh,1
/topic/markets,/story/markets-2,news_mesh,1
/topic/markets,/story/markets-3,news_mesh,1
/topic/markets,/trending,news_mesh,1
/topic/markets,/news_mesh/,news_mesh,1
/story/water-1,/topic/water,news_mesh,1
/story/water-1,/trending,news_mesh,1
/story/water-1,/story/policy-1,news_mesh,1
/story/water-1,/story/security-2,news_mesh,1
/story/water-1,/story/field-3,news_mesh,1
/story/water-2,/topic/water,news_mesh,1
/story/water-2,/trending,news_mesh,1
/story/water-2,/story/policy-2,news_mesh,1
/story/water-2,/story/security-3,news_mesh,1
/story/water-2,/story/research-1,news_mesh,1
/story/water-3,/topic/water,news_mesh,1
/story/water-3,/trending,news_mesh,1
/story/water-3,/story/policy-3,news_mesh,1
/story/water-3,/story/field-1,news_mesh,1
/story/water-3,/story/research-2,news_mesh,1
/story/policy-1,/topic/policy,news_mesh,1
/story/policy-1,/trending,news_mesh,1
/story/policy-1,/story/security-1,news_mesh,1
