path,site_id,category,depth,out_degree,in_degree,pagerank,betweenness
/news_mesh/,news_mesh,home,0,8,8,0.07340625771474485,0.17539178769948
/trending,news_mesh,listing,1,4,26,0.14895847361590311,0.15030113476267323
/about,news_mesh,info,1,2,1,0.013354974463086398,0.0
/topic/water,news_mesh,listing,1,5,4,0.03202687044773641,0.04411744665590819
/topic/policy,news_mesh,listing,1,5,4,0.027341599865828417,0.048598529675452744
/topic/security,news_mesh,listing,1,5,4,0.03348806118942033,0.04346333154025461
/topic/field,news_mesh,listing,1,5,4,0.027842638445926923,0.04269410077102385
/topic/research,news_mesh,listing,1,5,4,0.032729660940954385,0.041212838443607666
/topic/markets,news_mesh,listing,1,5,4,0.026107495348271875,0.049332974717590114
/story/water-1,news_mesh,article,2,5,5,0.0628268148006234,0.04874294935833397
/story/water-2,news_mesh,article,2,5,4,0.022384758410678822,0.03428571428571429
/story/water-3,news_mesh,article,2,5,4,0.024622489681973805,0.03557468172852788
/story/policy-1,news_mesh,article,2,5,4,0.03779270361642266,0.032567355721201875
/story/policy-2,news_mesh,article,2,5,4,0.022522691637798974,0.02699380107072415
/story/policy-3,news_mesh,article,2,5,4,0.021960006174265235,0.03642257742257743
/story/security-1,news_mesh,article,2,5,4,0.02740750174140026,0.0350340172647865
/story/security-2,news_mesh,article,2,5,5,0.06858449745817309,0.03925397679243834
/story/security-3,news_mesh,article,2,5,4,0.022436434218930247,0.03400845308537616
/story/field-1,news_mesh,article,2,5,4,0.022871706790745402,0.03758920566612875
/story/field-2,news_mesh,article,2,5,4,0.033738224533884656,0.03379943133789288
/story/field-3,news_mesh,article,2,5,4,0.028612861418746978,0.02745825968902892
/story/research-1,news_mesh,article,2,5,4,0.0225458269147811,0.03516550116550116
/story/research-2,news_mesh,article,2,5,4,0.02570057907915191,0.03534211941904249
/story/research-3,news_mesh,article,2,5,5,0.0657212195559007,0.047387458695151
/story/markets-1,news_mesh,article,2,5,4,0.021470102125403002,0.02940884756269371
/story/markets-2,news_mesh,article,2,5,4,0.02198390486968836,0.037062937062937056
/story/markets-3,news_mesh,article,2,5,4,0.03156164493955885,0.03725210686749148
