source,target,site_id,weight
/atlas_shop/,/catalog,atlas_shop,1
/atlas_shop/,/deals,atlas_shop,1
/atlas_shop/,/about,atlas_shop,1
/atlas_shop/,/search,atlas_shop,1
/atlas_shop/,/cart,atlas_shop,1
/catalog,/catalog/water,atlas_shop,1
/catalog,/catalog/sensors,atlas_shop,1
/catalog,/catalog/kits,atlas_shop,1
/catalog,/catalog/field,atlas_shop,1
/catalog,/search,atlas_shop,1
/catalog,/atlas_shop/,atlas_shop,1
/catalog/water,/p/aqua,atlas_shop,1
/catalog/water,/p/river,atlas_shop,1
/catalog/water,/p/filter,atlas_shop,1
/catalog/water,/catalog,atlas_shop,1
/catalog/water,/cart,atlas_shop,1
/catalog/sensors,/p/flow,atlas_shop,1
/catalog/sensors,/p/node,atlas_shop,1
/catalog/sensors,/p/camera,atlas_shop,1
/catalog/sensors,/catalog,atlas_shop,1
/catalog/sensors,/cart,atlas_shop,1
/catalog/kits,/p/reservoir,atlas_shop,1
/catalog/kits,/p/starter,atlas_shop,1
/catalog/kits,/p/pro,atlas_shop,1
/catalog/kits,/catalog,atlas_shop,1
/catalog/kits,/deals,atlas_shop,1
/catalog/field,/p/boots,atlas_shop,1
/catalog/field,/p/pack,atlas_shop,1
/catalog/field,/p/meter,atlas_shop,1
/catalog/field,/catalog,atlas_shop,1
/deals,/p/starter,atlas_shop,1
/deals,/p/filter,atlas_shop,1
/deals,/catalog,atlas_shop,1
/deals,/cart,atlas_shop,1
/search,/catalog/water,atlas_shop,1
/search,/catalog/sensors,atlas_shop,1
/search,/p/aqua,atlas_shop,1
/search,/p/flow,atlas_shop,1
/search,/atlas_shop/,atlas_shop,1
/about,/atlas_shop/,atlas_shop,1
/about,/catalog,atlas_shop,1
/about,/contact,atlas_shop,1
/contact,/atlas_shop/,atlas_shop,1
/contact,/about,atlas_shop,1
/cart,/catalog,atlas_shop,1
/cart,/deals,atlas_shop,1
/cart,/atlas_shop/,atlas_shop,1
/p/aqua,/catalog,atlas_shop,1
/p/aqua,/cart,atlas_shop,1
/p/aqua,/search,atlas_shop,1
/p/river,/catalog,atlas_shop,1
/p/river,/cart,atlas_shop,1
/p/river,/search,atlas_shop,1
/p/filter,/catalog,atlas_shop,1
/p/filter,/cart,atlas_shop,1
/p/filter,/search,atlas_shop,1
/p/flow,/catalog,atlas_shop,1
/p/flow,/cart,atlas_shop,1
/p/flow,/search,atlas_shop,1
/p/node,/catalog,atlas_shop,1
/p/node,/cart,atlas_shop,1
/p/node,/search,atlas_shop,1
/p/camera,/catalog,atlas_shop,1
/p/camera,/cart,atlas_shop,1
/p/camera,/search,atlas_shop,1
/p/reservoir,/catalog,atlas_shop,1
/p/reservoir,/cart,atlas_shop,1
/p/reservoir,/search,atlas_shop,1
/p/starter,/catalog,atlas_shop,1
/p/starter,/cart,atlas_shop,1
/p/starter,/search,atlas_shop,1
/p/pro,/catalog,atlas_shop,1
/p/pro,/cart,atlas_shop,1
/p/pro,/search,atlas_shop,1
/p/boots,/catalog,atlas_shop,1
/p/boots,/cart,atlas_shop,1
/p/boots,/search,atlas_shop,1
/p/pack,/catalog,atlas_shop,1
/p/pack,/cart,atlas_shop,1
/p/pack,/search,atlas_shop,1
/p/meter,/catalog,atlas_shop,1
/p/meter,/cart,atlas_shop,1
/p/meter,/search,atlas_shop,1
